Confident Matches (240),,,,,Need to be Checked (50),,,,,Not Likely (16),,,,,,
,,,,,,,,,,,,,,,5,Can't tell (type or different person?)
Hansard Transcript,Scraped Data,Ratio Score,Confidence,,Hansard Transcript,Scraped Data,Ratio Score,Confidence,,Hansard Transcript,Scraped Data,Ratio Score,Confidence,,2,Misclassifications
Cheruiyot, Cheruiyot Kipkirui, 90, Likely Matches,, Madzayo, Kiplagat Mandago, 64, Need to be Checked,, Oyomo, Betty Montet, 54,Not Likely,,,
 Orwoba, Gloria Orwoba, 90, Likely Matches,, Kavindu Muthama, Muthama Mbuku, 67, Need to be Checked,, Abass, Abdalla Mohamed, 54,Not Likely,,,
 Kinyua, Nderitu Kinyua, 90, Likely Matches,, A bdul Haji, Miraj Abdulrahman, 58, Need to be Checked,, Muyeka, Mungatana Buya, 54,Not Likely,,,
 Faki, Faki Mwinyihaji, 90, Likely Matches,, Gataya, Mungatana Buya, 75, Need to be Checked,, Senator, Tom Ojienda,61,Not Likely,,,
 Tobiko, Pesi Tobiko, 90, Likely Matches,, Kavindu Mut hama, Kingi, 54, Need to be Checked,, Abbas, Abdalla Mohamed, 54,Not Likely,,,
 Kingi , Kingi, 100, Likely Matches,, Gataya Mo Fire, Mwenda Fire, 50, Need to be Checked,, Malonza , Miraj Abdulrahman, 54,Not Likely,,,
 Miraj, Miraj Abdulrahman, 90, Likely Matches,, Abdul Haji, Miraj Abdulrahman, 63, Need to be Checked,, Abas s, Wambua Kiio, 60,Not Likely,,,
 Wafula, David Wafula, 90, Likely Matches,, Murkomen, Recha Murgor, 51, Need to be Checked,, Miano, Hezena Lemaletian, 60,Not Likely,,,
 Osotsi, Osotsi Atieno, 90, Likely Matches,, Tabitha Keroche, Keroche Karanja, 64, Need to be Checked,, Shakil a, Crystal Asige, 56,Not Likely,,,
 Chute, Chute Said, 90, Likely Matches,, Senators, Seki Kanar, 56, Need to be Checked,, Stewart Madzayo, Kiplagat Mandago, 52,Not Likely,,,
 Kisang’, Kisang Kipkemoi, 90, Likely Matches,, Prof Kamar, Margaret Kamar, 64, Need to be Checked,, Wetangula, Hamida Kibwana, 56,Not Likely,,,
 Wakili Sigei, Wakili Sigei, 100, Likely Matches,, Shakila Abdalla, Abdalla Mohamed, 64, Need to be Checked,, M adzayo, Kiplagat Mandago, 60,Not Likely,,,
 Okenyuri, Esther Okenyuri, 90, Likely Matches,, Mar iam Omar, Mwaruma M, 64, Need to be Checked,, Kuria , Esther Okenyuri, 60,Not Likely,,,
 Veronica Maina, Veronica Nduati, 76, Likely Matches,, Mariam  Omar, Margaret Kamar, 62, Need to be Checked,, Linturi, Esther Okenyuri, 51,Not Likely,,,
  Khalwale, Khalwale Boni, 90, Likely Matches,, Mariam Omar, Margaret Kamar, 64, Need to be Checked,, Soipan, Osotsi Atieno, 53,Not Likely,,,
 Kibwana, Hamida Kibwana, 90, Likely Matches,, Gataya  Mo Fire, Mwenda Fire, 50, Need to be Checked,, Members, Lelegwe Ltumbesi, 51,Not Likely,,,
 Ogola, Beatrice Ogolla, 72, Likely Matches,, Abdul Ha ji, Miraj Abdulrahman, 58, Need to be Checked,,,,,,,,
 Methu, Methu Muhia, 90, Likely Matches,, Macho gu, Murango Kamau, 50, Need to be Checked,,,,,,,,
 Mwaruma, Mwaruma M, 95, Likely Matches,, Mvurya, Murango Kamau, 60, Need to be Checked,,,,,,,,
  Murango, Murango Kamau, 90, Likely Matches,, Tabitha Keroc he, Mutinda Tabitha, 61, Need to be Checked,,,,,,,,
 M Kajwang’, Kajwang' Otieno, 86, Likely Matches,, Ali Ro ba, Gloria Orwoba, 55, Need to be Checked,,,,,,,,
 Wamatinga, Wamatinga Wahome, 90, Likely Matches,, Gataya Mo  Fire, Mwenda Fire, 50, Need to be Checked,,,,,,,,
 Joe Nyutu, Joe Nyutu, 100, Likely Matches,, O gola, Beatrice Ogolla, 75, Need to be Checked,,,,,,,,
 Murgor, Recha Murgor, 90, Likely Matches,, Murkomen , Recha Murgor, 51, Need to be Checked,,,,,,,,
 Wakili Sige i, Wakili Sigei, 96, Likely Matches,, Kipchumba Murkomen, Recha Murgor, 53, Need to be Checked,,,,,,,,
 Tabitha Mutinda, Mutinda Tabitha, 95, Likely Matches,, Soipan Tuya, Sifuna Watenya, 48, Need to be Checked,,,,,,,,
 Wambua, Wambua Kiio, 90, Likely Matches,, John Kinyua, Nderitu Kinyua, 67, Need to be Checked,,,,,,,,
 M Kajwang ’, Kajwang' Otieno, 86, Likely Matches,, Julius Gataya, Mungatana Buya, 52, Need to be Checked,,,,,,,,
 Veronica Maina , Veronica Nduati, 76, Likely Matches,, Jackson Mandago, Kiplagat Mandago, 61, Need to be Checked,,,,,,,,
  Oburu, Oginga Oburu, 90, Likely Matches,, Julius Murgor, Recha Murgor, 64, Need to be Checked,,,,,,,,
 Maanzo, Maanzo Kitonga, 90, Likely Matches,, Lenku Seki, Seki Kanar, 57, Need to be Checked,,,,,,,,
  Khalwa le, Khalwale Boni, 73, Likely Matches,, Allan Chesang, Chesang Kiprotich, 66, Need to be Checked,,,,,,,,
 Olekina, Olekina Ledama, 90, Likely Matches,, Shakila Abdallah, Abdalla Mohamed, 62, Need to be Checked,,,,,,,,
 Sifuna, Sifuna Watenya, 90, Likely Matches,, Shakil a Abdalla, Abdalla Mohamed, 62, Need to be Checked,,,,,,,,
 Mungatana MGH, Mungatana Buya, 78, Likely Matches,,nan, Hamida Kibwana, 72, Need to be Checked,,,,,,,,
 Chimera, Chimera Mwinzago, 90, Likely Matches,, Wafula Wakoli, David Wafula, 68, Need to be Checked,,,,,,,,
 Cherarkey, Cherarkey K, 95, Likely Matches,, Ali Rob a, Gloria Orwoba, 55, Need to be Checked,,,,,,,,
 Ch eruiyot, Cheruiyot Kipkirui, 81, Likely Matches,,  Kavindu Muthama, Muthama Mbuku, 67, Need to be Checked,,,,,,,,
 Cherarke y, Cherarkey K, 86, Likely Matches,, Shakilla Abdala, Abdalla Mohamed, 57, Need to be Checked,,,,,,,,
 Crystal Asi ge, Crystal Asige, 96, Likely Matches,,  Ruto, Oginga Oburu, 64, Need to be Checked,,,,,,,,
 Crystal Asige, Crystal Asige, 100, Likely Matches,, Verinica Maina, Veronica Nduati, 69, Need to be Checked,,,,,,,,
 Oke tch Gicheru, Oketch Gicheru, 97, Likely Matches,, M Kajwa ng’, Kajwang' Otieno, 63, Need to be Checked,,,,,,,,
 Ali Roba, Roba Ibrahim, 86, Likely Matches,, Mvurya , Murango Kamau, 60, Need to be Checked,,,,,,,,
 Munyi Mundigi, Munyi Mundigi, 100, Likely Matches,, Prof  Kamar, Margaret Kamar, 64, Need to be Checked,,,,,,,,
 Mumma, Catherine Mumma, 90, Likely Matches,, Madzayo , Kiplagat Mandago, 64, Need to be Checked,,,,,,,,
 Mun gatana MGH, Mungatana Buya, 71, Likely Matches,, Kibwana The point is, Hamida Kibwana, 64, Need to be Checked,,,,,,,,
 Oketch Gicheru, Oketch Gicheru, 100, Likely Matches,, Mpuri Aburi, Murungi Kathuri, 66, Need to be Checked,,,,,,,,
 Prof Tom Ojienda SC, Tom Ojienda,90,Likely Matches,, Senat or, Oginga Oburu, 56, Need to be Checked,,,,,,,,
 Thang’wa, Karungo Thangwa, 84, Likely Matches,, Shakila  Abdalla, Abdalla Mohamed, 64, Need to be Checked,,,,,,,,
 Kathuri , Murungi Kathuri, 90, Likely Matches,, Ma riam Omar, Margaret Kamar, 51, Need to be Checked,,,,,,,,
